Earnings Dates: ,20130116,20130412,20130712,20131011,20140114,20140411,20140715,20141014,20150114,20150414,20150714,20151013,20160114,20160413,20160714,20161014,20170113,20170413,20170714,20171012,20180112,20180413,20180713,20181012,20190115,20190412,20190716,
Before Earnings:,46.349998474121094,49.310001373291016,55.13999938964844,52.52000045776367,57.70000076293945,57.400001525878906,56.290000915527344,58.15999984741211,58.84000015258789,62.06999969482422,68.08999633789062,61.54999923706055,57.34000015258789,59.279998779296875,63.15999984741211,67.73999786376953,86.23999786376953,85.4000015258789,93.0999984741211,96.83999633789062,110.83999633789062,113.37000274658203,106.8499984741211,108.12999725341797,100.94000244140625,106.2300033569336,113.9000015258789,
After Earnings:,46.81999969482422,49.0099983215332,54.970001220703125,52.5099983215332,57.7400016784668,55.29999923706055,58.27000045776367,57.9900016784668,56.810001373291016,63.040000915527344,69.04000091552734,59.9900016784668,58.20000076293945,61.790000915527344,64.12000274658203,67.5199966430664,86.69999694824219,84.4000015258789,92.25,95.98999786376953,112.66999816894531,110.30000305175781,106.36000061035156,106.94999694824219,101.68000030517578,111.20999908447266,115.12000274658203,
Difference:,1.014026399516591%,-0.6084020348868019%,-0.30830281252637565%,-0.01904443286993575%,0.06932567590715913%,-3.658540475598366%,3.5174977971800923%,-0.29229396387778145%,-3.4500319069213874%,1.5627537062546655%,1.3952190170820462%,-2.534520841479463%,1.4998266621259306%,4.234146740750388%,1.519953928893584%,-0.3247729962223571%,0.533394127860835%,-1.1709601664315759%,-0.9129951536544514%,-0.8777349300544268%,1.6510302160927641%,-2.7079470939827384%,-0.4585848111997942%,-1.0912793259490088%,0.7331066434232414%,4.68793708949273%,1.0711160705524063%,
Average Difference:,1.552028
