Earnings Dates: ,20130131,20150129,20150430,20150730,20151030,20160129,20160428,20160728,20161027,20170127,20170428,20170721,20171027,20180126,20180427,20180727,20181026,20190125,20190426,20190726,
Before Earnings:,55.42499923706055,65.12000274658203,68.51000213623047,68.93000030517578,69.2300033569336,65.0199966430664,69.30999755859375,73.27999877929688,71.26000213623047,68.23999786376953,73.30000305175781,72.08999633789062,71.20999908447266,77.30999755859375,66.58999633789062,66.94000244140625,63.81999969482422,62.20000076293945,68.69000244140625,71.93000030517578,
After Earnings:,53.685001373291016,69.02999877929688,67.27999877929688,68.0199966430664,66.3499984741211,67.52999877929688,71.16000366210938,73.25,70.56999969482422,64.68000030517578,72.04000091552734,73.2699966430664,70.4000015258789,73.55999755859375,66.58000183105469,66.66000366210938,59.58000183105469,61.84000015258789,71.30000305175781,73.69000244140625,
Difference:,-3.139373726154356%,6.004293408786856%,-1.7953631857838246%,-1.3201851995945009%,-4.160053074046339%,3.86035414613964%,2.6691764084274485%,-0.04093719950408935%,-0.9682885499878964%,-5.216878180009219%,-1.7189660078742008%,1.6368433418210218%,-1.1374772770785921%,-4.850601627762115%,-0.015009021453047427%,-0.41828319253791907%,-6.643682049583892%,-0.578779109221589%,3.7996804739931953%,2.44682625992402%,
Positive Change Percentage:,30.000000%
Negative Change Percentage:,70.000000%

Absolute Average Difference:,2.621053%
Positive Average Difference:,3.402862%
Negative Average Difference:,-2.285991%
