Earnings Dates: ,20130201,20130430,20130729,20131024,20140130,20140428,20140730,20141027,20150130,20150429,20150729,20151022,20160203,20160427,20160728,20161026,20170127,20170428,20170728,20171026,20180130,20180426,20180727,20181025,20190130,20190426,20190730,
Before Earnings:,45.62666702270508,51.62666702270508,48.65999984741211,54.290000915527344,52.650001525878906,52.77000045776367,57.099998474121094,53.40999984741211,52.650001525878906,52.119998931884766,46.52000045776367,37.939998626708984,32.2400016784668,40.18000030517578,34.849998474121094,34.81999969482422,40.77000045776367,42.279998779296875,45.900001525878906,44.150001525878906,45.119998931884766,33.58000183105469,32.72999954223633,28.329999923706055,31.190000534057617,35.439998626708984,34.59000015258789,
After Earnings:,46.59000015258789,51.5533332824707,48.08000183105469,54.47999954223633,52.779998779296875,51.470001220703125,56.06999969482422,53.900001525878906,51.529998779296875,52.02000045776367,46.5099983215332,39.779998779296875,32.7599983215332,39.650001525878906,35.02000045776367,35.099998474121094,40.31999969482422,43.11000061035156,44.689998626708984,43.95000076293945,42.720001220703125,33.779998779296875,32.45000076293945,29.34000015258789,29.09000015258789,35.11000061035156,33.83000183105469,
Difference:,2.1113379362192544%,-0.14204624172643818%,-1.1919400291331237%,0.34996983515364677%,0.24690835641110395%,-2.4635194727751557%,-1.8038508000375726%,0.9174343378893289%,-2.1272606156174936%,-0.19186200339677864%,-0.02150072255383975%,4.849763361068147%,1.6128927295115922%,-1.3190611629452957%,0.48781059135144056%,0.8041320555740703%,-1.1037546183146074%,1.9631075095042625%,-2.6361718059806805%,-0.45300284490867104%,-5.319143989353342%,0.5955834941534485%,-0.8554805475495086%,3.565126126374202%,-6.732928328028247%,-0.9311456804310435%,-2.197161949062157%,
Positive Change Percentage:,40.740741%
Negative Change Percentage:,59.259259%

Absolute Average Difference:,1.740515%
Positive Average Difference:,1.591279%
Negative Average Difference:,-1.843114%
