Earnings Dates: ,20160927,20170328,20170627,20170926,20180327,20180626,20180925,20190115,20190326,20190626,
Before Earnings:,36.25,40.119998931884766,46.400001525878906,48.290000915527344,48.029998779296875,50.119998931884766,54.279998779296875,49.650001525878906,54.34000015258789,59.2599983215332,
After Earnings:,35.63999938964844,41.40999984741211,45.369998931884766,44.119998931884766,48.599998474121094,52.5,53.900001525878906,50.77000045776367,53.27000045776367,62.369998931884766,
Difference:,-1.6827603044181034%,3.215356305760355%,-2.2198331037115855%,-8.6353321693596%,1.1867576708536471%,4.748605584269382%,-0.7000686476855722%,2.2557883131201764%,-1.9690829808973804%,5.248060577857774%,
Positive Change Percentage:,50.000000%
Negative Change Percentage:,50.000000%

Absolute Average Difference:,3.186165%
Positive Average Difference:,3.330914%
Negative Average Difference:,-3.041415%
