Earnings Dates: ,20130117,20130418,20130718,20131017,20140116,20140416,20140717,20141016,20150115,20150416,20150716,20151015,20160121,20160421,20161020,20170119,20170420,20170720,20171019,20180118,20180419,20180719,20181018,20190117,20190418,20190718,20191017,
Before Earnings:,12.710000038146973,12.800000190734863,15.569999694824219,15.069999694824219,15.369999885559082,14.930000305175781,14.789999961853027,14.130000114440918,14.170000076293945,15.1899995803833,16.389999389648438,15.59000015258789,14.329999923706055,16.479999542236328,15.930000305175781,19.1299991607666,17.540000915527344,17.639999389648438,18.360000610351562,19.43000030517578,18.34000015258789,18.329999923706055,16.170000076293945,16.0,17.1299991607666,16.469999313354492,15.779999732971191,
After Earnings:,12.390000343322754,12.760000228881836,15.479999542236328,14.369999885559082,14.850000381469727,14.539999961853027,14.8100004196167,13.819999694824219,14.279999732971191,15.229999542236328,16.18000030517578,15.729999542236328,13.9399995803833,15.869999885559082,16.09000015258789,18.690000534057617,17.56999969482422,17.510000228881836,18.889999389648438,20.079999923706055,18.06999969482422,18.299999237060547,16.040000915527344,16.3700008392334,16.639999389648438,16.329999923706055,16.459999084472656,
Difference:,-2.5177001877560374%,-0.3124996973201678%,-0.5780356734227072%,-4.644988874854133%,-3.3832108520568185%,-2.6121924671867056%,0.13522959983271043%,-2.19391661079944%,0.7762855051869249%,0.26333089504942564%,-1.281263528327445%,0.8980076220537947%,-2.721565564543919%,-3.7014543302254816%,1.0043932476267698%,-2.3000451960885093%,0.17103065981210117%,-0.7369567191872359%,2.8867034949773154%,3.345340238399924%,-1.4721944139437375%,-0.16366986781439177%,-0.8039527529575404%,2.3125052452087402%,-2.860477496347032%,-0.8500266878270041%,4.309248181295304%,
Positive Change Percentage:,37.037037%
Negative Change Percentage:,62.962963%

Absolute Average Difference:,1.823564%
Positive Average Difference:,1.610207%
Negative Average Difference:,-1.949068%
