Earnings Dates: ,20121101,20130207,20130502,20130801,20131031,20140206,20140501,20140731,20141030,20150205,20150430,20150730,20151103,20160204,20160428,20160728,20161027,20170202,20170427,20170727,20171026,20180201,20180507,20180802,20181101,20190204,20190502,20190801,
Before Earnings:,26.940000534057617,27.56999969482422,30.93000030517578,29.420000076293945,27.979999542236328,28.75,31.149999618530273,34.18000030517578,34.4900016784668,40.529998779296875,37.72999954223633,39.41999816894531,39.66999816894531,39.68000030517578,40.060001373291016,44.2599983215332,42.11000061035156,44.290000915527344,44.45000076293945,44.0099983215332,43.349998474121094,40.79999923706055,41.209999084472656,42.79999923706055,43.0,49.40999984741211,49.060001373291016,49.560001373291016,
After Earnings:,26.15999984741211,28.56999969482422,30.459999084472656,29.010000228881836,27.649999618530273,29.520000457763672,31.3700008392334,33.54999923706055,35.790000915527344,39.04999923706055,38.27000045776367,39.08000183105469,38.2599983215332,37.0099983215332,40.060001373291016,45.970001220703125,42.849998474121094,44.439998626708984,43.7400016784668,45.2599983215332,44.369998931884766,40.54999923706055,40.9900016784668,43.810001373291016,43.52000045776367,49.349998474121094,50.04999923706055,50.22999954223633,
Difference:,-2.89532543126504%,3.62713097957608%,-1.5195642291166602%,-1.3936092669914%,-1.1794136136704139%,2.678262461786685%,0.7062639595419203%,-1.8431862565543484%,3.7692060707326025%,-3.651615067386399%,1.431224283273174%,-0.8624970920431722%,-3.554322945534929%,-6.72883559250958%,0.0%,3.863540361541265%,1.7572972050435534%,0.3386717274351058%,-1.5972982503627393%,2.840263684782738%,2.3529423152634887%,-0.6127451094972407%,-0.5338447243226251%,2.359818117370215%,1.2093033901480743%,-0.12143568807187165%,2.017932808922628%,1.351892958797191%,
Positive Change Percentage:,53.571429%
Negative Change Percentage:,46.428571%

Absolute Average Difference:,2.028480%
Positive Average Difference:,2.020250%
Negative Average Difference:,-2.037976%
