Earnings Dates: ,20170210,20180208,20190207,20190430,
Before Earnings:,24.315000534057617,39.63999938964844,40.4900016784668,43.880001068115234,
After Earnings:,24.520000457763672,38.04999923706055,39.654998779296875,46.61000061035156,
Difference:,0.8431006341904648%,-4.011100345786338%,-2.0622446642524817%,6.221512023207407%,
Positive Change Percentage:,50.000000%
Negative Change Percentage:,50.000000%

Absolute Average Difference:,3.284489%
Positive Average Difference:,3.532306%
Negative Average Difference:,-3.036673%
