Earnings Dates: ,20130123,20130424,20130724,20131023,20140122,20140423,20140723,20141029,20150121,20150422,20150722,20151028,20160120,20160420,20160720,20161026,20170125,20170426,20170726,20171025,20180124,20180425,20180725,20181024,20190123,20190424,20190724,20191023,
Before Earnings:,98.80999755859375,72.3499984741211,81.41999816894531,86.30999755859375,97.4800033569336,108.19000244140625,110.80999755859375,117.12000274658203,125.94999694824219,120.41999816894531,118.5,121.33999633789062,90.0199966430664,97.16000366210938,121.47000122070312,119.54000091552734,145.75,137.3000030517578,128.1999969482422,119.30999755859375,142.1300048828125,157.07000732421875,175.1999969482422,161.60000610351562,159.63999938964844,164.25,148.6699981689453,138.32000732421875,
After Earnings:,103.22000122070312,74.88999938964844,87.29000091552734,85.1500015258789,102.48999786376953,105.9800033569336,113.2300033569336,121.77999877929688,113.4000015258789,122.4000015258789,127.68000030517578,110.08000183105469,89.51000213623047,102.54000091552734,121.86000061035156,130.99000549316406,133.72000122070312,126.98999786376953,119.0199966430664,124.05000305175781,134.94000244140625,158.47000122070312,177.0800018310547,171.47000122070312,156.08999633789062,162.47000122070312,147.69000244140625,145.94000244140625,
Difference:,4.463114837640057%,3.5107131570097794%,7.209534363292248%,-1.3439880263318869%,5.139509985951991%,-2.042701760423337%,2.1839236997187017%,3.978821655936854%,-9.964268143270036%,1.6442479546924706%,7.74683570057028%,-9.279705659031572%,-0.5665346876851042%,5.537255095345441%,0.32106642440863553%,9.578387560602277%,-8.25385851066681%,-7.509107763167151%,-7.160686835961467%,3.9728485375554734%,-5.058750576512309%,0.8913184129383489%,1.0730621664153874%,6.1076700151020455%,-2.2237553654037447%,-1.0837131076388888%,-0.6591751796656491%,5.50896089770037%,
Positive Change Percentage:,57.142857%
Negative Change Percentage:,42.857143%

Absolute Average Difference:,4.429054%
Positive Average Difference:,4.304204%
Negative Average Difference:,-4.595520%
