Earnings Dates: ,20121107,20130213,20130508,20130807,20131106,20140212,20140507,20140806,20141105,20150211,20150505,20150805,20151104,20160210,20160504,20160803,20161031,20170208,20170503,20170802,20171108,20180214,20180509,20180808,20181108,20190213,20190508,20190807,20191106,
Before Earnings:,37.880001068115234,41.689998626708984,37.29999923706055,36.38999938964844,33.88999938964844,30.190000534057617,34.650001525878906,38.77000045776367,41.650001525878906,40.52000045776367,35.5099983215332,28.559999465942383,28.020000457763672,24.59000015258789,30.959999084472656,30.510000228881836,26.579999923706055,24.43000030517578,25.420000076293945,23.739999771118164,16.260000228881836,17.579999923706055,18.040000915527344,18.540000915527344,21.079999923706055,14.699999809265137,11.430000305175781,11.579999923706055,13.359999656677246,
After Earnings:,39.2400016784668,32.27000045776367,37.2400016784668,34.36000061035156,31.809999465942383,30.770000457763672,36.86000061035156,38.95000076293945,39.0,39.290000915527344,34.529998779296875,27.93000030517578,28.709999084472656,27.290000915527344,28.200000762939453,30.25,24.969999313354492,24.420000076293945,23.739999771118164,22.440000534057617,15.479999542236328,19.1299991607666,19.399999618530273,20.969999313354492,18.90999984741211,12.779999732971191,10.859999656677246,10.699999809265137,14.880000114440918,
Difference:,3.590286620916484%,-22.595342958131752%,-0.16085136681219447%,-5.578452358738791%,-6.137503573816476%,1.921165662291895%,6.3780634549816195%,0.4642772841126863%,-6.362548448485287%,-3.0355368419070663%,-2.7597848171174317%,-2.20587945569772%,2.462521825255011%,10.980076234994659%,-8.914723524386094%,-0.8521803570349062%,-6.057188167693116%,-0.04093421513268369%,-6.608970496198021%,-5.475986729545433%,-4.797052125866709%,8.816833013579389%,7.538795088598666%,13.10678682756705%,-10.294118046241623%,-13.061225178273844%,-4.986882180925447%,-7.599310192044313%,11.377249227727225%,
Positive Change Percentage:,34.482759%
Negative Change Percentage:,65.517241%

Absolute Average Difference:,6.350363%
Positive Average Difference:,6.663606%
Negative Average Difference:,-6.185498%
