Earnings Dates: ,20170622,20170928,20171221,20180322,20180621,20181004,20190108,20190328,20190627,20191003,
Before Earnings:,16.200000762939453,22.5,31.110000610351562,44.06999969482422,39.849998474121094,27.170000076293945,31.90999984741211,23.8700008392334,21.520000457763672,25.40999984741211,
After Earnings:,17.209999084472656,26.780000686645508,34.22999954223633,48.91999816894531,35.060001373291016,34.150001525878906,23.920000076293945,19.200000762939453,22.989999771118164,27.290000915527344,
Difference:,6.234557246711766%,19.022225273980034%,10.028925974519638%,11.005215583631374%,-12.020068467357008%,25.690104637412464%,-25.039172075602973%,-19.564306292851917%,6.83085168255267%,7.398666192068883%,
Positive Change Percentage:,70.000000%
Negative Change Percentage:,30.000000%

Absolute Average Difference:,14.283409%
Positive Average Difference:,12.315792%
Negative Average Difference:,-18.874516%
