Earnings Dates: ,20141104,20150129,20150507,20150812,20151027,20160128,20160505,20160811,20161102,20170124,20170518,20170817,20171102,20180201,20180504,20180823,20181102,20190130,20190515,20190815,
Before Earnings:,101.80000305175781,98.44999694824219,80.0,77.33999633789062,76.3499984741211,69.54000091552734,75.81999969482422,87.33000183105469,101.1500015258789,98.41000366210938,120.72000122070312,159.5,186.0800018310547,204.2899932861328,182.4499969482422,177.85000610351562,151.25,156.8800048828125,174.83999633789062,162.05999755859375,
After Earnings:,106.06999969482422,89.80999755859375,86.0,73.37999725341797,79.44000244140625,66.91999816894531,78.83000183105469,91.7699966430664,98.51000213623047,101.43000030517578,121.2699966430664,163.9199981689453,184.80999755859375,192.22000122070312,188.88999938964844,172.22999572753906,147.58999633789062,166.82000732421875,177.60000610351562,166.97000122070312,
Difference:,4.194495594362042%,-8.776028092911691%,7.5%,-5.120247313139013%,4.047156554079718%,-3.76761966075416%,3.969931612167948%,5.084157470420262%,-2.6099845277540625%,3.068790296396656%,0.4555959383712785%,2.7711587266114814%,-0.6825044389315928%,-5.90826396891805%,3.529735570909965%,-3.1599719893771034%,-2.41983713197314%,6.336054393184979%,1.5785917544239056%,3.029744376204951%,
Positive Change Percentage:,60.000000%
Negative Change Percentage:,40.000000%

Absolute Average Difference:,3.900493%
Positive Average Difference:,3.797118%
Negative Average Difference:,-4.055557%
