Earnings Dates: ,20130118,20130425,20130806,20131018,20140122,20140429,20140806,20141028,20150127,20150428,20150804,20151022,20160126,20160426,20160804,20161021,20170202,20170427,20170803,20171102,20180201,20180426,20180802,20181101,20190131,20190502,20190801,20191031,
Before Earnings:,91.36000061035156,89.37000274658203,104.93000030517578,106.81999969482422,126.81999969482422,122.7300033569336,115.0199966430664,117.23999786376953,122.76000213623047,124.88999938964844,112.41000366210938,101.75,88.12000274658203,113.41000366210938,113.77999877929688,122.80000305175781,145.4499969482422,164.5399932861328,164.3000030517578,181.99000549316406,201.4199981689453,168.27000427246094,165.66000366210938,151.6300048828125,165.0,179.99000549316406,175.0800018310547,193.9499969482422,
After Earnings:,93.69999694824219,90.55000305175781,101.5,112.41000366210938,122.41999816894531,125.86000061035156,109.55000305175781,122.94999694824219,121.3499984741211,120.27999877929688,107.9000015258789,100.7699966430664,91.7699966430664,114.36000061035156,118.95999908447266,123.19999694824219,149.75,161.97999572753906,165.32000732421875,187.1199951171875,193.47000122070312,162.5500030517578,171.57000732421875,159.35000610351562,164.80999755859375,176.0800018310547,172.86000061035156,183.49000549316406,
Difference:,2.5612919464292245%,1.3203538871110871%,-3.268846178595306%,5.233106144219555%,-3.4694855200023147%,2.55031138907008%,-4.755689228789709%,4.870350723741533%,-1.1485855633536495%,-3.691248805253549%,-4.0121003374281345%,-0.9631482623425983%,4.14207192773374%,0.8376659179666214%,4.552645773202734%,0.3257279206383939%,2.9563445458771316%,-1.55585125990734%,0.6208181701248147%,2.8188304133086755%,-3.946974987843043%,-3.399299385196046%,3.567550121611607%,5.091341404802789%,-0.11515299479166667%,-2.172344876259185%,-1.2679924591532383%,-5.393138241641475%,
Positive Change Percentage:,50.000000%
Negative Change Percentage:,50.000000%

Absolute Average Difference:,2.878867%
Positive Average Difference:,2.960601%
Negative Average Difference:,-2.797133%
