Earnings Dates: ,20121101,20130130,20130425,20130718,20131030,20140116,20140422,20140717,20141106,20150122,20150430,20150723,20151105,20160128,20160428,20160721,20161103,20170119,20170427,20170720,20171106,20180205,20180503,20180719,20181108,20190205,20190502,20190807,20191112,
Before Earnings:,24.079999923706055,21.559999465942383,22.020000457763672,22.450000762939453,24.479999542236328,28.6200008392334,37.959999084472656,46.34000015258789,62.13999938964844,79.33000183105469,92.25,103.12000274658203,80.27999877929688,64.79000091552734,71.77999877929688,70.91999816894531,74.66999816894531,78.45999908447266,104.19999694824219,107.63999938964844,116.33000183105469,94.68000030517578,92.25,102.4800033569336,83.4000015258789,75.95999908447266,90.79000091552734,79.9000015258789,101.58999633789062,
After Earnings:,19.950000762939453,23.940000534057617,21.420000076293945,23.889999389648438,25.799999237060547,30.530000686645508,41.5,52.869998931884766,59.880001068115234,80.86000061035156,98.30000305175781,97.70999908447266,85.98999786376953,68.91999816894531,66.81999969482422,64.80999755859375,75.06999969482422,88.66999816894531,99.73999786376953,107.47000122070312,111.19000244140625,104.55999755859375,96.19999694824219,96.98999786376953,76.66000366210938,84.69000244140625,87.5999984741211,80.2699966430664,101.13999938964844,
Difference:,-17.151159359850073%,11.038966266556931%,-2.724797316060828%,6.414247562459506%,5.392155716942601%,6.673654058017385%,9.325608537686616%,14.09149494560846%,-3.6369461598509187%,1.92865088110705%,6.558268890794376%,-5.246318384421002%,7.112604847155513%,6.37443617079528%,-6.910001628341128%,-8.615342312610254%,0.5356924275984031%,13.012999239880477%,-4.280229573027732%,-0.15793215339023955%,-4.418464118236004%,10.435147044330826%,4.281839510289634%,-5.357148041889306%,-8.08153206289585%,11.492895553125585%,-3.5136054733321194%,0.463072728562667%,-0.44295399592838597%,
Positive Change Percentage:,55.172414%
Negative Change Percentage:,44.827586%

Absolute Average Difference:,6.402351%
Positive Average Difference:,7.195733%
Negative Average Difference:,-5.425879%
