Earnings Dates: ,20121220,20130321,20130627,20130924,20131219,20140319,20140627,20140924,20150113,20150320,20150619,20150924,20160107,20160323,20160621,20160920,20170111,20170323,20170627,20170928,20180110,20180322,20180628,20180925,20190109,20190326,20190626,20190925,
Before Earnings:,16.65999984741211,21.56999969482422,19.889999389648438,17.030000686645508,17.549999237060547,17.68000030517578,17.8799991607666,16.969999313354492,16.56999969482422,14.079999923706055,14.960000038146973,14.449999809265137,11.789999961853027,13.100000381469727,14.539999961853027,14.930000305175781,16.600000381469727,19.31999969482422,22.81999969482422,22.219999313354492,34.349998474121094,28.84000015258789,25.3799991607666,25.290000915527344,21.979999542236328,24.079999923706055,23.530000686645508,32.380001068115234,
After Earnings:,15.600000381469727,22.100000381469727,19.700000762939453,17.760000228881836,16.469999313354492,18.719999313354492,18.690000534057617,16.06999969482422,13.869999885559082,15.260000228881836,16.3700008392334,14.600000381469727,10.050000190734863,13.930000305175781,14.859999656677246,15.229999542236328,16.649999618530273,19.610000610351562,24.059999465942383,24.1200008392334,38.58000183105469,29.520000457763672,27.239999771118164,24.510000228881836,21.0,24.729999542236328,25.389999389648438,32.72999954223633,
Difference:,-6.362541870653368%,2.457119583421612%,-0.9552470213139744%,4.286550280698316%,-6.153845986644864%,5.882347229791922%,4.530209235514791%,-5.303474690314344%,-16.29450729627053%,8.380684031035054%,9.425139020661902%,1.0380662573324853%,-14.758267826530929%,6.335877095699249%,2.2008232163945407%,2.009371941918489%,0.3012002163346942%,1.5010399591519368%,5.433829043386916%,8.550862216890268%,12.314420800106966%,2.357837384112368%,7.328607848131155%,-3.0842256164831117%,-4.458596736333777%,2.6993339725485956%,7.904796637165315%,1.080909396466139%,
Positive Change Percentage:,71.428571%
Negative Change Percentage:,28.571429%

Absolute Average Difference:,5.478205%
Positive Average Difference:,4.800951%
Negative Average Difference:,-7.171338%
