Earnings Dates: ,20130116,20130417,20130717,20131016,20140117,20140422,20140718,20141017,20150123,20150422,20150721,20151020,20160121,20160421,20160721,20161020,20170119,20170420,20170720,20171019,20180118,20180419,20180719,20181018,20190116,20190417,20190717,20191016,20200116,
Before Earnings:,26.780000686645508,27.760000228881836,30.350000381469727,30.850000381469727,33.91999816894531,33.709999084472656,38.0,36.15999984741211,38.720001220703125,41.040000915527344,42.97999954223633,40.16999816894531,35.470001220703125,39.720001220703125,40.0099983215332,40.43000030517578,46.22999954223633,46.86000061035156,53.060001373291016,54.459999084472656,57.88999938964844,52.2599983215332,55.63999938964844,49.150001525878906,49.40999984741211,53.439998626708984,43.11000061035156,44.36000061035156,50.689998626708984,
After Earnings:,26.040000915527344,27.190000534057617,30.920000076293945,30.760000228881836,32.70000076293945,33.75,38.43000030517578,36.36000061035156,36.900001525878906,42.43000030517578,44.150001525878906,41.25,34.310001373291016,40.70000076293945,38.599998474121094,42.25,44.84000015258789,46.650001525878906,53.90999984741211,52.849998474121094,55.349998474121094,55.2400016784668,52.72999954223633,47.790000915527344,50.43000030517578,48.349998474121094,44.119998931884766,44.439998626708984,46.720001220703125,
Difference:,-2.7632552357893805%,-2.0533130047714634%,1.8780879329814888%,-0.29173468873585445%,-3.596690659974152%,0.11866187070224155%,1.1315797504625822%,0.5530994573656414%,-4.700412286792714%,3.3869380083822955%,2.722201014666881%,2.688578243176563%,-3.270368783452539%,2.467269667971526%,-3.5241187367239997%,4.501606928237459%,-3.0067043119447057%,-0.4481414463026418%,1.601957128008972%,-2.9562993709461836%,-4.387633343077098%,5.702264547730981%,-5.230050106638752%,-2.7670408303761347%,2.064360374243343%,-9.524701129097595%,2.342839961107963%,0.1803381768636722%,-7.831914605564883%,
Positive Change Percentage:,48.275862%
Negative Change Percentage:,51.724138%

Absolute Average Difference:,3.023868%
Positive Average Difference:,2.238556%
Negative Average Difference:,-3.756825%
