Earnings Dates: ,20121105,20130220,20130508,20130807,20131105,20140219,20140507,20140731,20141105,20150211,20150506,20150805,20151103,20160210,20160504,20160803,20161026,20170222,20170503,20170802,20171101,20180207,20180502,20180801,20181024,20190130,20190424,20190724,
Before Earnings:,28.920000076293945,38.540000915527344,55.790000915527344,134.22999572753906,176.80999755859375,193.63999938964844,201.35000610351562,223.3000030517578,230.97000122070312,212.8000030517578,230.42999267578125,270.1300048828125,208.35000610351562,143.6699981689453,222.55999755859375,225.7899932861328,202.24000549316406,273.510009765625,311.0199890136719,325.8900146484375,321.0799865722656,345.0,301.1499938964844,300.8399963378906,288.5,308.7699890136719,258.6600036621094,264.8800048828125,
After Earnings:,31.5,35.15999984741211,69.4000015258789,153.47999572753906,151.16000366210938,209.97000122070312,178.58999633789062,233.27000427246094,241.22000122070312,202.8800048828125,236.8000030517578,246.1300048828125,231.6300048828125,150.47000122070312,211.52999877929688,230.61000061035156,204.00999450683594,255.99000549316406,295.4599914550781,347.0899963378906,299.260009765625,315.2300109863281,284.45001220703125,349.5400085449219,314.8599853515625,307.0199890136719,247.6300048828125,228.82000732421875,
Difference:,8.921161538380872%,-8.770111540795188%,24.39505357054701%,14.341056852205956%,-14.50709476311379%,8.433175936029079%,-11.303704532258072%,4.4648459849739535%,4.4378057521875425%,-4.6616532080277%,2.7644015876610606%,-8.884610952571395%,11.173505206297211%,4.733071022776454%,-4.955966436148521%,2.1347302659735616%,0.875192328716438%,-6.405617215791884%,-5.002893096337213%,6.505256600857552%,-6.795807187979183%,-8.628982322803443%,-5.545403296668664%,16.188011168679004%,9.136910000541594%,-0.5667649260830568%,-4.264284629681477%,-13.613710696867178%,
Positive Change Percentage:,50.000000%
Negative Change Percentage:,50.000000%

Absolute Average Difference:,7.943242%
Positive Average Difference:,8.464584%
Negative Average Difference:,-7.421900%
