Earnings Dates: ,20130124,20130423,20130723,20131022,20140123,20140422,20140722,20141021,20150127,20150421,20150720,20151020,20160126,20160426,20160719,20161025,20170124,20170425,20170718,20171024,20180129,20180424,20180724,20181023,20190129,20190423,20190723,20191022,
Before Earnings:,96.06999969482422,95.8499984741211,115.6500015258789,125.30000305175781,156.64999389648438,161.49000549316406,162.97999572753906,175.52999877929688,195.67999267578125,196.8000030517578,201.17999267578125,210.63999938964844,211.00999450683594,226.3000030517578,256.2900085449219,232.16000366210938,257.4800109863281,276.2099914550781,288.489990234375,320.7300109863281,344.8999938964844,358.6000061035156,318.3299865722656,326.7799987792969,287.8699951171875,315.260009765625,357.6300048828125,374.04998779296875,
After Earnings:,93.25,97.05999755859375,117.91999816894531,130.0500030517578,150.49000549316406,156.69000244140625,167.8699951171875,172.61000061035156,190.5500030517578,196.2899932861328,205.1300048828125,208.72999572753906,209.92999267578125,232.16000366210938,258.9599914550781,249.25999450683594,252.91000366210938,270.0199890136719,286.7900085449219,313.1499938964844,351.4200134277344,336.489990234375,322.57000732421875,321.3500061035156,292.04998779296875,333.1000061035156,357.79998779296875,373.67999267578125,
Difference:,-2.9353593252651446%,1.26238821464285%,1.9628159214147967%,3.7909017432648526%,-3.9323259772297754%,-2.9723220561541184%,3.0003678474892514%,-1.6635322675622985%,-2.621621941964822%,-0.2591512996526067%,1.9634219857026398%,-0.9067620906018856%,-0.5118249652481268%,2.589483221973843%,1.0417818959525542%,7.365605864485708%,-1.7748979063316148%,-2.2410494308324003%,-0.5892688644316657%,-2.3633638356863544%,1.8904087116936479%,-6.165648492141469%,1.3319576950978125%,-1.6616661656359815%,1.4520418059129916%,5.658819953457936%,0.04753038275184703%,-0.09891595488897248%,
Positive Change Percentage:,46.428571%
Negative Change Percentage:,53.571429%

Absolute Average Difference:,2.287687%
Positive Average Difference:,2.565963%
Negative Average Difference:,-2.046514%
