Earnings Dates: ,20121106,20130207,20130507,20130806,20131105,20140213,20140506,20140805,20141104,20150212,20150512,20150810,20151109,20160210,20160509,20160808,20161107,20170215,20170508,20170808,20171106,20180214,20180507,20180807,20181105,20190213,20190506,20190805,20191104,
Before Earnings:,65.31999969482422,71.19000244140625,78.19000244140625,82.7699966430664,83.5199966430664,88.11000061035156,97.83999633789062,101.93000030517578,98.16999816894531,107.0,119.30000305175781,118.80999755859375,114.11000061035156,115.33000183105469,119.88999938964844,132.7100067138672,131.1199951171875,119.16000366210938,137.3800048828125,134.63999938964844,146.4499969482422,144.85000610351562,126.88999938964844,134.22999572753906,146.02999877929688,145.22000122070312,137.72000122070312,141.47000122070312,124.01000213623047,
After Earnings:,64.33000183105469,72.66000366210938,79.45999908447266,83.2300033569336,84.22000122070312,90.55999755859375,98.05999755859375,96.4800033569336,95.5,114.7699966430664,114.4000015258789,114.05000305175781,113.61000061035156,100.48999786376953,126.23999786376953,136.3800048828125,126.05999755859375,124.02999877929688,128.97999572753906,139.67999267578125,149.99000549316406,144.02000427246094,126.48999786376953,134.25999450683594,148.69000244140625,132.66000366210938,135.0,118.91000366210938,134.4600067138672,
Difference:,-1.5156121683937729%,2.064898399059652%,1.6242442811254698%,0.555765050771839%,0.838128119937887%,2.7806116573268422%,0.22485816530833702%,-5.346803622020051%,-2.7197700099274615%,7.261679105669538%,-4.107293713775565%,-4.0063922267892%,-0.4381736897078258%,-12.867427149636285%,5.296520565892476%,2.7654268580199126%,-3.859058684429797%,4.0869377035241445%,-6.114433583285129%,3.7433105384582346%,2.417213123038146%,-0.5730077984681167%,-0.31523487099294445%,0.022348789578870824%,1.8215460414606892%,-8.648944672232345%,-1.9750226521884704%,-15.946841990478655%,8.426743325233497%,
Positive Change Percentage:,51.724138%
Negative Change Percentage:,48.275862%

Absolute Average Difference:,3.874629%
Positive Average Difference:,2.928682%
Negative Average Difference:,-4.888144%
