Earnings Dates: ,20161114,20170814,20171113,20180327,20180507,20180806,20181107,20190312,20190507,20190806,
Before Earnings:,4.0,1.1799999475479126,0.8999999761581421,3.0799999237060547,2.7799999713897705,3.069999933242798,2.2899999618530273,3.9100000858306885,4.900000095367432,3.6600000858306885,
After Earnings:,3.25,1.0700000524520874,0.8600000143051147,2.5999999046325684,2.9700000286102295,2.8299999237060547,2.3399999141693115,4.789999961853027,4.690000057220459,3.190000057220459,
Difference:,-18.75%,-9.3220254224934%,-4.444440323629388%,-15.584416589722485%,6.834534502727878%,-7.81759005718396%,2.1834040676500757%,22.506390197057524%,-4.285714980812171%,-12.841530535198237%,
Positive Change Percentage:,30.000000%
Negative Change Percentage:,70.000000%

Absolute Average Difference:,10.457005%
Positive Average Difference:,10.508110%
Negative Average Difference:,-10.435103%
