Earnings Dates: ,20180604,20180904,20181203,20190319,20190605,20190904,20191204,
Before Earnings:,26.540000915527344,31.700000762939453,27.059999465942383,43.439998626708984,40.7599983215332,47.90999984741211,43.7599983215332,
After Earnings:,28.950000762939453,29.049999237060547,26.34000015258789,45.689998626708984,44.93000030517578,43.65999984741211,43.63999938964844,
Difference:,9.080632118599997%,-8.359626063407006%,-2.6607513952861703%,5.179558174793755%,10.230623541119229%,-8.870799443823348%,-0.27422060440463303%,
Positive Change Percentage:,42.857143%
Negative Change Percentage:,57.142857%

Absolute Average Difference:,6.379459%
Positive Average Difference:,8.163605%
Negative Average Difference:,-5.041349%
