Earnings Dates: ,20170608,20170928,20171207,20180308,20180531,20180927,20181129,20190228,20190604,20190923,20191210,
Before Earnings:,79.62000274658203,88.01000213623047,100.20999908447266,118.91999816894531,129.77999877929688,96.79000091552734,90.43000030517578,84.27999877929688,70.81999969482422,85.0199966430664,77.37000274658203,
After Earnings:,77.91000366210938,90.94999694824219,106.52999877929688,121.26000213623047,109.08999633789062,93.61000061035156,86.05000305175781,73.5199966430664,72.75,79.37999725341797,73.94999694824219,
Difference:,-2.147700358558533%,3.340523509431244%,6.306755565875951%,1.9677127508535595%,-15.942366031757752%,-3.2854636585354506%,-4.843522325153944%,-12.766969971615175%,2.725219307388436%,-6.6337327832726904%,-4.420325290076236%,
Positive Change Percentage:,36.363636%
Negative Change Percentage:,63.636364%

Absolute Average Difference:,5.852754%
Positive Average Difference:,3.585053%
Negative Average Difference:,-7.148583%
