Earnings Dates: ,20140430,20140730,20141030,20150218,20150430,20150730,20151029,20160211,20160428,20160728,20161027,20170209,20170427,20170727,20171026,20180426,20180726,20181025,20190425,20190725,
Before Earnings:,49.349998474121094,53.65999984741211,50.290000915527344,58.560001373291016,60.54999923706055,63.75,65.19999694824219,54.849998474121094,66.83000183105469,71.87999725341797,65.58999633789062,67.5999984741211,79.72000122070312,78.48999786376953,86.48999786376953,83.02999877929688,80.08999633789062,79.73999786376953,95.5,108.22000122070312,
After Earnings:,51.25,51.43000030517578,52.63999938964844,56.0,61.150001525878906,63.20000076293945,64.51000213623047,56.7400016784668,65.23999786376953,72.77999877929688,62.84000015258789,71.7300033569336,80.62000274658203,81.19999694824219,80.69999694824219,78.58999633789062,81.4800033569336,82.94000244140625,96.55999755859375,104.80999755859375,
Difference:,3.850053869556365%,-4.1557949097606555%,4.672894077032154%,-4.371586942036211%,0.990920390385602%,-0.8627439012714461%,-1.05827430108541%,3.4457671046926825%,-2.379176902171369%,1.252088982009679%,-4.192706721823815%,6.10947481662084%,1.1289532264146247%,3.45266805736986%,-6.694416763250681%,-5.347467790777979%,1.7355563523547766%,4.013048235972759%,1.1099450875327226%,-3.1509920750740306%,
Positive Change Percentage:,55.000000%
Negative Change Percentage:,45.000000%

Absolute Average Difference:,3.198727%
Positive Average Difference:,2.887397%
Negative Average Difference:,-3.579240%
