Earnings Dates: ,20121105,20130228,20130507,20130806,20131105,20140228,20140501,20140731,20141105,20150302,20150511,20150810,20151105,20160229,20160505,20160808,20161108,20170228,20170509,20170808,20171109,20180227,20180508,20180808,20181108,20190228,20190509,20190805,20191104,
Before Earnings:,29.229999542236328,31.0,37.91999816894531,38.709999084472656,43.63999938964844,81.48999786376953,62.95000076293945,67.75,68.66999816894531,85.5999984741211,87.04000091552734,83.75,60.4900016784668,52.939998626708984,26.59000015258789,18.190000534057617,15.680000305175781,13.289999961853027,10.850000381469727,9.3100004196167,6.090000152587891,6.840000152587891,5.619999885559082,12.649999618530273,16.030000686645508,10.34000015258789,8.170000076293945,2.9800000190734863,4.820000171661377,
After Earnings:,26.729999542236328,30.020000457763672,38.209999084472656,37.470001220703125,56.220001220703125,79.81999969482422,66.36000061035156,67.08000183105469,68.69999694824219,87.31999969482422,86.66000366210938,84.18000030517578,51.70000076293945,41.810001373291016,16.170000076293945,22.15999984741211,14.510000228881836,13.649999618530273,12.819999694824219,8.180000305175781,6.929999828338623,6.809999942779541,5.789999961853027,16.229999542236328,13.1899995803833,10.989999771118164,8.010000228881836,2.8499999046325684,4.860000133514404,
Difference:,-8.552856788066613%,-3.161288845923639%,0.7647703837835118%,-3.2033011963229905%,28.826769035287175%,-2.049329013036818%,5.416997309108339%,-0.9889271866351477%,0.04368542317865005%,2.0093472562655736%,-0.4365777222207954%,0.513433200209888%,-14.531328602452998%,-21.02379588616522%,-39.18766459758674%,21.825174253960895%,-7.461735035220263%,2.7088010361969275%,18.156675060758282%,-12.137487255746452%,13.79309777839303%,-0.4385995488172487%,3.024912451168735%,28.300395507221314%,-17.71678717785829%,6.286263142535756%,-1.9583824469765259%,-4.362419919760148%,0.8298746976857471%,
Positive Change Percentage:,48.275862%
Negative Change Percentage:,51.724138%

Absolute Average Difference:,9.300368%
Positive Average Difference:,9.464300%
Negative Average Difference:,-9.147365%
