Earnings Dates: ,20180424,20180724,20181023,20190123,20190424,20190724,20191021,
Before Earnings:,24.0,25.18000030517578,23.020000457763672,18.399999618530273,20.899999618530273,22.5,20.5,
After Earnings:,23.969999313354492,25.18000030517578,21.079999923706055,18.1200008392334,21.190000534057617,22.219999313354492,20.190000534057617,
Difference:,-0.12500286102294922%,0.0%,-8.427456539877424%,-1.5217325277273037%,1.387564214452063%,-1.244447496202257%,-1.5121925167921113%,
Positive Change Percentage:,28.571429%
Negative Change Percentage:,71.428571%

Absolute Average Difference:,2.031199%
Positive Average Difference:,0.693782%
Negative Average Difference:,-2.566166%
