Earnings Dates: ,20121218,20130319,20130618,20130917,20131217,20140318,20140617,20140916,20141216,20150317,20150616,20150922,20151215,20160315,20160628,20160927,20161220,20170328,20170627,20170926,20171219,20180327,20180626,20180925,20181218,20190326,20190625,20190926,
Before Earnings:,96.38999938964844,98.02999877929688,103.76000213623047,112.25,117.06999969482422,104.54000091552734,113.01000213623047,126.13999938964844,135.10000610351562,154.19000244140625,165.49000549316406,165.92999267578125,169.30999755859375,154.8300018310547,151.19000244140625,176.19000244140625,165.3300018310547,174.5500030517578,166.08999633789062,170.80999755859375,204.72999572753906,209.99000549316406,207.8699951171875,231.64999389648438,217.5800018310547,233.57000732421875,293.3299865722656,270.989990234375,
After Earnings:,92.19000244140625,92.81999969482422,99.12000274658203,110.30999755859375,109.62000274658203,114.6500015258789,117.0,126.76000213623047,135.8300018310547,158.9600067138672,161.74000549316406,162.6699981689453,162.58999633789062,146.6699981689453,153.00999450683594,164.33999633789062,161.27999877929688,164.57000732421875,165.64999389648438,179.94000244140625,187.4600067138672,201.72999572753906,197.1199951171875,227.25,208.3699951171875,246.3000030517578,285.25,245.7100067138672,
Difference:,-4.357295336484083%,-5.314698714015454%,-4.471857453854334%,-1.7282872529231625%,-6.363711427063033%,9.670939852507617%,3.53065904640874%,0.4915195414476205%,0.5403373016724581%,3.0935885575808246%,-2.2659978702791825%,-1.964680679041432%,-3.9690516316837754%,-5.2702987570931485%,1.203778051485267%,-6.725697224197759%,-2.449647980949264%,-5.717556890892623%,-0.2649180872465772%,5.3451232441359835%,-8.435495224967084%,-3.9335251914615017%,-5.171501540633436%,-1.8994146395059117%,-4.23292887046601%,5.450184239566574%,-2.75457230496106%,-9.328751773688596%,
Positive Change Percentage:,28.571429%
Negative Change Percentage:,71.428571%

Absolute Average Difference:,4.140929%
Positive Average Difference:,3.665766%
Negative Average Difference:,-4.330994%
