Earnings Dates: ,20121219,20130327,20130619,20130918,20131218,20140325,20140626,20140923,20141222,20150324,20150624,20150923,20151221,20160322,20160622,20160921,20161220,20170321,20170621,20170918,20171219,20180320,20180620,20180920,20181218,20190319,20190619,20190919,
Before Earnings:,11.529999732971191,14.979999542236328,15.149999618530273,15.649999618530273,15.609999656677246,14.579999923706055,17.65999984741211,15.630000114440918,17.920000076293945,19.920000076293945,19.190000534057617,18.299999237060547,18.8799991607666,15.050000190734863,14.729999542236328,12.859999656677246,16.799999237060547,15.699999809265137,16.299999237060547,14.350000381469727,14.350000381469727,14.100000381469727,15.550000190734863,16.149999618530273,14.199999809265137,17.479999542236328,17.770000457763672,16.739999771118164,
After Earnings:,12.930000305175781,14.729999542236328,14.0600004196167,15.739999771118164,16.06999969482422,16.280000686645508,15.770000457763672,16.75,18.06999969482422,19.780000686645508,19.510000228881836,18.549999237060547,14.550000190734863,15.199999809265137,14.460000038146973,14.510000228881836,17.700000762939453,16.450000762939453,14.100000381469727,15.149999618530273,14.75,14.899999618530273,14.050000190734863,19.049999237060547,14.460000038146973,15.109999656677246,15.779999732971191,18.389999389648438,
Difference:,12.142242884890516%,-1.6688919068062809%,-7.194714365407469%,0.5750808612246007%,2.9468292649846766%,11.659813249898386%,-10.702148391724915%,7.165706189114409%,0.8370514391275328%,-0.7028081782742842%,1.6675335378771698%,1.366120275533719%,-22.93431759800949%,0.9966751935499427%,-1.8329905803131055%,12.830486907111748%,5.357152183040082%,4.777076196088319%,-13.496926126160705%,5.574907427135629%,2.7874537135678144%,5.6737533008290475%,-9.646302132483207%,17.95665440885123%,1.8309875519307572%,-13.558352103113801%,-11.198653199375995%,9.856628680348305%,
Positive Change Percentage:,64.285714%
Negative Change Percentage:,35.714286%

Absolute Average Difference:,7.104938%
Positive Average Difference:,5.889009%
Negative Average Difference:,-9.293610%
