Earnings Dates: ,20180507,20181211,20190207,20190509,20190808,20191212,
Before Earnings:,20.700000762939453,15.720000267028809,15.5,14.699999809265137,11.260000228881836,12.380000114440918,
After Earnings:,21.049999237060547,15.899999618530273,15.600000381469727,14.609999656677246,11.489999771118164,12.239999771118164,
Difference:,1.6908138223246765%,1.145034023179988%,0.6451637514175907%,-0.6122459439160346%,2.0426246675056063%,-1.1308589824603272%,
Positive Change Percentage:,66.666667%
Negative Change Percentage:,33.333333%

Absolute Average Difference:,1.211124%
Positive Average Difference:,1.380909%
Negative Average Difference:,-0.871552%
