Earnings Dates: ,20171121,20180821,20181120,20190820,
Before Earnings:,14.779999732971191,14.260000228881836,12.109999656677246,36.099998474121094,
After Earnings:,13.850000381469727,13.569999694824219,12.800000190734863,33.0,
Difference:,-6.2922826001601635%,-4.838713344899588%,5.697775009243396%,-8.587253753884177%,
Positive Change Percentage:,25.000000%
Negative Change Percentage:,75.000000%

Absolute Average Difference:,6.354006%
Positive Average Difference:,5.697775%
Negative Average Difference:,-6.572750%
