Earnings Dates: ,20121107,20130130,20130424,20130724,20131106,20140129,20140423,20140723,20141105,20150128,20150422,20150722,20151104,20160127,20160420,20160720,20161102,20170125,20170419,20170719,20171101,20180131,20180425,20180725,20181107,20190130,20190501,20190731,
Before Earnings:,58.119998931884766,63.529998779296875,66.0,61.38999938964844,69.73999786376953,71.12000274658203,80.70999908447266,81.5999984741211,77.19999694824219,70.98999786376953,68.94000244140625,64.19000244140625,60.2599983215332,47.529998779296875,52.09000015258789,55.81999969482422,67.08999633789062,56.900001525878906,52.61000061035156,56.779998779296875,53.459999084472656,68.25,49.75,59.41999816894531,63.209999084472656,50.16999816894531,86.37000274658203,73.16000366210938,
After Earnings:,60.66999816894531,66.0199966430664,62.439998626708984,63.41999816894531,67.08999633789062,73.26000213623047,77.87000274658203,76.16999816894531,70.58000183105469,63.689998626708984,68.33999633789062,61.779998779296875,51.06999969482422,43.59000015258789,51.66999816894531,59.93000030517578,66.94999694824219,54.04999923706055,52.65999984741211,53.970001220703125,54.84000015258789,66.80000305175781,50.470001220703125,63.58000183105469,58.04999923706055,49.52000045776367,87.13999938964844,71.19999694824219,
Difference:,4.387472959263272%,3.9194048663841157%,-5.393941474683357%,3.3067255244820424%,-3.799830236667676%,3.0089979007365604%,-3.5187664107370757%,-6.654412263129969%,-8.575123547771376%,-10.283137704933184%,-0.8703308416990331%,-3.7544844531035313%,-15.250578962304825%,-8.289498691140656%,-0.8063005997547726%,7.3629534805114885%,-0.20867401593427964%,-5.008791234429298%,0.09503751469394396%,-4.948921484687195%,2.581371290213981%,-2.1245376531021063%,1.4472386345791457%,7.001016139854946%,-8.163265182960028%,-1.2955904622376133%,0.8915093418783963%,-2.6790686382678564%,
Positive Change Percentage:,35.714286%
Negative Change Percentage:,64.285714%

Absolute Average Difference:,4.486678%
Positive Average Difference:,3.400173%
Negative Average Difference:,-5.090292%
