Earnings Dates: ,20130131,20130425,20130725,20131024,20140203,20140424,20140724,20141023,20150129,20150423,20150723,20151022,20160201,20160428,20160728,20161027,20170130,20170427,20170727,20171026,20180129,20180426,20180726,20181025,20190129,20190425,20190725,20191024,
Before Earnings:,31.010000228881836,35.779998779296875,40.459999084472656,46.75,41.709999084472656,44.790000915527344,51.779998779296875,50.599998474121094,48.08000183105469,51.310001373291016,52.47999954223633,49.77000045776367,37.95000076293945,42.869998931884766,44.709999084472656,53.560001373291016,57.7400016784668,64.30999755859375,66.62999725341797,68.19999694824219,74.5,61.27000045776367,55.47999954223633,49.43000030517578,49.619998931884766,55.779998779296875,60.09000015258789,57.400001525878906,
After Earnings:,30.520000457763672,35.7400016784668,42.9900016784668,46.849998474121094,42.2599983215332,46.290000915527344,51.790000915527344,50.349998474121094,46.93000030517578,51.619998931884766,54.459999084472656,50.5099983215332,35.06999969482422,42.68000030517578,46.630001068115234,55.27000045776367,57.09000015258789,65.18000030517578,67.37000274658203,68.0999984741211,68.5,60.459999084472656,57.7400016784668,45.97999954223633,48.13999938964844,57.380001068115234,60.68000030517578,54.5099983215332,
Difference:,-1.580134690427355%,-0.11178619953788642%,6.253096023833278%,0.2139004794034091%,1.3186268260199858%,3.348961753380977%,0.01931660190472598%,-0.49407116114412575%,-2.3918500043319977%,0.604165952634561%,3.7728650143047515%,1.4868351556426362%,-7.588935468290519%,-0.4431971808790319%,4.294345835290737%,3.192679314092379%,-1.1257386681395158%,1.3528265893485059%,1.1106191260215037%,-0.14662533518437518%,-8.053691275167784%,-1.3220195319720751%,4.073543898481747%,-6.979568564919078%,-2.9826674205857584%,2.868415783135892%,0.9818607939585454%,-5.034848654216044%,
Positive Change Percentage:,53.571429%
Negative Change Percentage:,46.428571%

Absolute Average Difference:,2.612400%
Positive Average Difference:,2.326137%
Negative Average Difference:,-2.942703%
