Earnings Dates: ,20180612,20180912,20181211,20190314,20190604,20190904,
Before Earnings:,21.209999084472656,28.780000686645508,17.799999237060547,22.399999618530273,18.540000915527344,14.930000305175781,
After Earnings:,28.200000762939453,23.0,18.25,21.520000457763672,10.890000343322754,14.949999809265137,
Difference:,32.95616209424551%,-20.08339315060386%,2.5280942821757404%,-3.928567748896867%,-41.262136971081134%,0.1339551485636758%,
Positive Change Percentage:,50.000000%
Negative Change Percentage:,50.000000%

Absolute Average Difference:,16.815385%
Positive Average Difference:,11.872737%
Negative Average Difference:,-21.758033%
