Earnings Dates: ,20130124,20130425,20141023,20150723,20160728,20161024,20170123,20170424,20170724,20171023,20180122,20180423,20180723,20181022,20190422,20190722,20191021,
Before Earnings:,14.220000267028809,13.779999732971191,17.3799991607666,23.110000610351562,28.260000228881836,33.04999923706055,38.91999816894531,43.54999923706055,40.70000076293945,42.95000076293945,47.70000076293945,48.70000076293945,56.400001525878906,45.7400016784668,42.459999084472656,39.38999938964844,41.79999923706055,
After Earnings:,13.640000343322754,14.399999618530273,17.440000534057617,23.31999969482422,28.760000228881836,32.25,38.650001525878906,43.099998474121094,40.04999923706055,43.25,48.20000076293945,49.75,56.650001525878906,43.72999954223633,42.45000076293945,41.72999954223633,43.72999954223633,
Difference:,-4.078761693492165%,4.4992735672963615%,0.34523231408699945%,0.908693547929169%,1.7692851944459576%,-2.420572633972921%,-0.6937221371244552%,-1.0332968331179848%,-1.5970553162023122%,0.6984848235891282%,1.048218012584342%,2.156055894478739%,0.443262399355235%,-4.3944076573497926%,-0.02354762540929834%,5.940594538833212%,4.6172256947426265%,
Positive Change Percentage:,58.823529%
Negative Change Percentage:,41.176471%

Absolute Average Difference:,2.156923%
Positive Average Difference:,2.242633%
Negative Average Difference:,-2.034481%
